,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_name,GO,notes
TCONS_00002671,6732.163098,0.884477284,0.250168793,3.535522043,0.00040697,0.017930354,No Change,,,
TCONS_00003128,5892.183133,0.905182846,0.269621151,3.35723975,0.000787248,0.028020043,No Change,,,
TCONS_00000755,4572.450558,0.941379233,0.22150407,4.249941017,2.14E-05,0.002613515,No Change,,,
TCONS_00003094,807.0071645,0.944771962,0.166542139,5.672870347,1.40E-08,6.65E-06,No Change,,,
TCONS_00000757,5148.266891,0.949764108,0.234141737,4.056363978,4.98E-05,0.004096829,No Change,,,
TCONS_00000756,5298.542445,1.136401164,0.235243541,4.830743318,1.36E-06,0.000264313,Up,ABC transporter ATP-binding protei,"/GO_function=""GO:0140359 - ABC-type transporter activity [Evidence IEA]; GO:0005524 - ATP binding [Evidence IEA]; GO:0016887 - ATP hydrolysis activity [Evidence IEA];GO:0042626 - ATPase-coupled transmembrane transporter activity [Evidence IEA]""",
TCONS_00000779,4532.118154,1.229352073,0.337750787,3.639820006,0.000272829,0.01390857,Up,hypothetical protein,,
TCONS_00001650,1513.678575,1.373509256,0.206156009,6.66247501,2.69E-11,2.55E-08,Up,hemN,"/GO_function=""GO:0051989 - coproporphyrinogen dehydrogenase activity [Evidence IEA]""/GO_process=""GO:0006779 - porphyrin-containing compound biosynthetic process [Evidence IEA]""",https://pubs.acs.org/doi/10.1021/acsbiomedchemau.1c00058
TCONS_00000704,264.0727544,1.415169394,0.36437469,3.883830109,0.000102824,0.006835075,Up,DctP family TRAP transporter solute-binding subunit,"/GO_component=""GO:0030288 - outer membrane-bounded periplasmic space [Evidence IEA]; GO:0031317 - tripartite ATP-independent periplasmic transporter complex [Evidence IEA]"" /GO_function=""GO:0005488 - binding [Evidence IEA];GO:0005215 - transporter activity [Evidence IEA]"" /GO_process=""GO:0006810 - transport [Evidence IEA]""",
TCONS_00000048,411.8061882,1.429650533,0.431989819,3.309454231,0.00093478,0.031960204,Up,folylpolyglutamate synthase/dihydrofolate  synthase family protein,"/GO_function=""GO:0005524 - ATP binding [Evidence IEA]; GO:0008841 - dihydrofolate synthase activity [Evidence IEA]; GO:0046872 - metal ion binding [Evidence IEA];GO:0004326 - tetrahydrofolylpolyglutamate synthase activity [Evidence IEA]""/GO_process=""GO:0006730 - one-carbon metabolic process[Evidence IEA]""",
TCONS_00001128,6716.587674,1.634950345,0.276465933,5.913749753,3.34E-09,2.11E-06,Up,MerR family DNA-binding transcriptional  regulator,"/GO_function=""GO:0003677 - DNA binding [Evidence IEA];GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]""",
,,,,,,,,,,
